<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RSTI,10,20160104,101000,0.4600000,0.4616000,0.4598000,0.4612000,945000
RSTI,10,20160104,102000,0.4612000,0.4625000,0.4612000,0.4615000,185000
RSTI,10,20160104,103000,0.4615000,0.4623000,0.4615000,0.4623000,3000
RSTI,10,20160104,104000,0.4615000,0.4618000,0.4606000,0.4615000,486000
RSTI,10,20160104,105000,0.4611000,0.4615000,0.4607000,0.4613000,149000
RSTI,10,20160104,110000,0.4609000,0.4612000,0.4598000,0.4603000,370000
RSTI,10,20160104,111000,0.4598000,0.4598000,0.4580000,0.4593000,2719000
RSTI,10,20160104,112000,0.4590000,0.4590000,0.4565000,0.4571000,591000
RSTI,10,20160104,113000,0.4564000,0.4575000,0.4549000,0.4566000,2107000
RSTI,10,20160104,114000,0.4560000,0.4602000,0.4556000,0.4599000,2541000
RSTI,10,20160104,115000,0.4599000,0.4603000,0.4585000,0.4600000,2093000
RSTI,10,20160104,120000,0.4598000,0.4599000,0.4577000,0.4583000,979000
RSTI,10,20160104,121000,0.4589000,0.4589000,0.4579000,0.4587000,446000
RSTI,10,20160104,122000,0.4588000,0.4588000,0.4575000,0.4588000,279000
RSTI,10,20160104,123000,0.4588000,0.4588000,0.4588000,0.4588000,6000
RSTI,10,20160104,124000,0.4588000,0.4596000,0.4588000,0.4595000,93000
RSTI,10,20160104,125000,0.4595000,0.4595000,0.4595000,0.4595000,1000
RSTI,10,20160104,130000,0.4590000,0.4590000,0.4590000,0.4590000,3000
RSTI,10,20160104,131000,0.4589000,0.4595000,0.4584000,0.4594000,344000
RSTI,10,20160104,132000,0.4585000,0.4593000,0.4585000,0.4593000,8000
RSTI,10,20160104,133000,0.4594000,0.4599000,0.4594000,0.4599000,2012000
RSTI,10,20160104,134000,0.4597000,0.4598000,0.4590000,0.4598000,133000
RSTI,10,20160104,140000,0.4589000,0.4598000,0.4587000,0.4588000,166000
