<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.COP,10,20161006,182000,43.7400000,43.7400000,43.7400000,43.7400000,5
SPBEX.COP,10,20161102,165000,43.2500000,43.2500000,43.2500000,43.2500000,1
SPBEX.COP,10,20161118,210000,44.6000000,44.6000000,44.6000000,44.6000000,1
SPBEX.COP,10,20161125,174000,45.9900000,45.9900000,45.8000000,45.8000000,5
SPBEX.COP,10,20161125,185000,45.7200000,45.7200000,45.7200000,45.7200000,1
SPBEX.COP,10,20161125,192000,45.6400000,45.6400000,45.6400000,45.6400000,1
SPBEX.COP,10,20161125,193000,45.5600000,45.5600000,45.5600000,45.5600000,1
SPBEX.COP,10,20161125,194000,45.4800000,45.4800000,45.4800000,45.4800000,1
SPBEX.COP,10,20161125,195000,45.4000000,45.4000000,45.3200000,45.3200000,2
SPBEX.COP,10,20161125,200000,45.2400000,45.2400000,45.2400000,45.2400000,1
SPBEX.COP,10,20161125,210000,45.6900000,45.6900000,45.6900000,45.6900000,1
SPBEX.COP,10,20161129,183000,44.3100000,44.3100000,44.2100000,44.2100000,2
SPBEX.COP,10,20161129,202000,44.0200000,44.0200000,44.0200000,44.0200000,1
SPBEX.COP,10,20161129,203000,44.0400000,44.0400000,44.0400000,44.0400000,1
SPBEX.COP,10,20161129,221000,44.2700000,44.2700000,44.2700000,44.2700000,4
SPBEX.COP,10,20161130,171000,46.4100000,46.5200000,46.4100000,46.5200000,2
SPBEX.COP,10,20161130,174000,46.7400000,47.1800000,46.7400000,47.1800000,3
SPBEX.COP,10,20161130,175000,47.4000000,47.8400000,47.4000000,47.8400000,3
SPBEX.COP,10,20161130,180000,48.0600000,48.0600000,48.0600000,48.0600000,1
SPBEX.COP,10,20161130,181000,48.2800000,48.2800000,48.2800000,48.2800000,1
SPBEX.COP,10,20161130,192000,48.5000000,48.5000000,48.5000000,48.5000000,1
SPBEX.COP,10,20161201,180000,49.0000000,49.2700000,49.0000000,49.2700000,40
SPBEX.COP,10,20161201,193000,48.8300000,48.8300000,48.8300000,48.8300000,2
SPBEX.COP,10,20161213,225000,52.7400000,52.7800000,52.7400000,52.7800000,10
SPBEX.COP,10,20161214,174000,52.3000000,52.3000000,52.1900000,52.1900000,4
SPBEX.COP,10,20161214,175000,52.0000000,52.0700000,52.0000000,52.0700000,4
SPBEX.COP,10,20161214,182000,51.9800000,52.0000000,51.9800000,52.0000000,4
SPBEX.COP,10,20161215,183000,51.7400000,51.7400000,51.7400000,51.7400000,2
SPBEX.COP,10,20161215,184000,51.9700000,52.0300000,51.9700000,52.0300000,4
SPBEX.COP,10,20161216,175000,51.7000000,51.7800000,51.7000000,51.7800000,4
SPBEX.COP,10,20161216,181000,51.8000000,51.8000000,51.8000000,51.8000000,2
SPBEX.COP,10,20161216,182000,51.9400000,51.9400000,51.9400000,51.9400000,2
SPBEX.COP,10,20161219,175000,51.7900000,51.7900000,51.7900000,51.7900000,1
SPBEX.COP,10,20161219,180000,51.8000000,51.8400000,51.8000000,51.8200000,3
SPBEX.COP,10,20161219,182000,51.9400000,51.9400000,51.9400000,51.9400000,1
SPBEX.COP,10,20161219,183000,52.0000000,52.0000000,52.0000000,52.0000000,1
SPBEX.COP,10,20161221,203000,51.6100000,51.6100000,51.6100000,51.6100000,5
SPBEX.COP,10,20161221,213000,51.5900000,51.5900000,51.5900000,51.5900000,5
SPBEX.COP,10,20161230,194000,50.7200000,50.7200000,50.7200000,50.7200000,2
SPBEX.COP,10,20161230,200000,50.7500000,50.7500000,50.7500000,50.7500000,2
SPBEX.COP,10,20170112,182000,50.6600000,50.6600000,50.6400000,50.6400000,4
SPBEX.COP,10,20170112,184000,50.5900000,50.5900000,50.5900000,50.5900000,2
SPBEX.COP,10,20170112,185000,50.6600000,50.6600000,50.6600000,50.6600000,2
SPBEX.COP,10,20170112,210000,50.3300000,50.3900000,50.3300000,50.3900000,4
SPBEX.COP,10,20170112,211000,50.3100000,50.3800000,50.3100000,50.3800000,4
SPBEX.COP,10,20170112,214000,50.4700000,50.4700000,50.4100000,50.4100000,4
SPBEX.COP,10,20170117,181000,50.1200000,50.1200000,50.1200000,50.1200000,48
SPBEX.COP,10,20170118,132000,49.8500000,49.8500000,49.8500000,49.8500000,15
SPBEX.COP,10,20170125,173000,50.4300000,50.4300000,50.4300000,50.4300000,10
SPBEX.COP,10,20170125,183000,50.9900000,50.9900000,50.9900000,50.9900000,1
SPBEX.COP,10,20170202,175000,48.1300000,48.1300000,48.1300000,48.1300000,10
SPBEX.COP,10,20170202,223000,48.5000000,48.5000000,48.5000000,48.5000000,2
SPBEX.COP,10,20170202,224000,48.4800000,48.4800000,48.4800000,48.4800000,5
SPBEX.COP,10,20170207,174000,49.5800000,49.5800000,49.5800000,49.5800000,10
SPBEX.COP,10,20170216,214000,48.4800000,48.4800000,48.4800000,48.4800000,12
SPBEX.COP,10,20170221,101000,48.4800000,48.4800000,48.4800000,48.4800000,1
SPBEX.COP,10,20170221,150000,47.6200000,47.6200000,47.6200000,47.6200000,1
SPBEX.COP,10,20170221,152000,47.9600000,47.9600000,47.9600000,47.9600000,6
SPBEX.COP,10,20170221,160000,47.9500000,47.9500000,47.9500000,47.9500000,1
SPBEX.COP,10,20170221,212000,48.2800000,48.2800000,48.2800000,48.2800000,1
SPBEX.COP,10,20170222,111000,48.2800000,48.2800000,48.2800000,48.2800000,2
SPBEX.COP,10,20170222,160000,48.1400000,48.1400000,48.1400000,48.1400000,40
SPBEX.COP,10,20170222,161000,48.1300000,48.1300000,48.1300000,48.1300000,1
SPBEX.COP,10,20170222,205000,47.5600000,47.5600000,47.5600000,47.5600000,1
SPBEX.COP,10,20170222,232000,47.2000000,47.2000000,47.2000000,47.2000000,30
SPBEX.COP,10,20170223,130000,47.4100000,47.4100000,47.4100000,47.4100000,30
SPBEX.COP,10,20170224,160000,47.1900000,47.1900000,47.1900000,47.1900000,1
SPBEX.COP,10,20170224,173000,47.0500000,47.0500000,47.0500000,47.0500000,30
SPBEX.COP,10,20170224,181000,47.2700000,47.2700000,47.2700000,47.2700000,30
SPBEX.COP,10,20170224,202000,47.0800000,47.0800000,47.0800000,47.0800000,20
SPBEX.COP,10,20170224,203000,47.0800000,47.0800000,47.0800000,47.0800000,10
SPBEX.COP,10,20170227,202000,47.5000000,47.5000000,47.5000000,47.5000000,30
SPBEX.COP,10,20170301,213000,48.6500000,48.6500000,48.6500000,48.6500000,1
SPBEX.COP,10,20170307,235000,47.6200000,47.6200000,47.6200000,47.6200000,2
SPBEX.COP,10,20170308,205000,46.3200000,46.5000000,46.3200000,46.5000000,2
SPBEX.COP,10,20170308,215000,46.0000000,46.0000000,46.0000000,46.0000000,1
SPBEX.COP,10,20170309,114000,46.3900000,46.3900000,46.3900000,46.3900000,2
SPBEX.COP,10,20170310,170000,46.6800000,46.6800000,46.6800000,46.6800000,1
SPBEX.COP,10,20170310,222000,45.9000000,45.9000000,45.9000000,45.9000000,1
SPBEX.COP,10,20170314,175000,44.4900000,44.4900000,44.4900000,44.4900000,5
SPBEX.COP,10,20170314,181000,44.5000000,44.5000000,44.5000000,44.5000000,6
SPBEX.COP,10,20170314,200000,44.6100000,44.6100000,44.6100000,44.6100000,1
SPBEX.COP,10,20170315,225000,46.0600000,46.0600000,46.0600000,46.0600000,3
SPBEX.COP,10,20170315,230000,45.7900000,45.7900000,45.7900000,45.7900000,1
SPBEX.COP,10,20170317,132000,45.8900000,45.8900000,45.8900000,45.8900000,2
SPBEX.COP,10,20170317,192000,46.1900000,46.1900000,46.1900000,46.1900000,3
SPBEX.COP,10,20170320,170000,45.4600000,45.4600000,45.4600000,45.4600000,1
SPBEX.COP,10,20170320,174000,45.3600000,45.3600000,45.3600000,45.3600000,1
SPBEX.COP,10,20170320,175000,45.3300000,45.3300000,45.3300000,45.3300000,3
SPBEX.COP,10,20170320,200000,45.6600000,45.6600000,45.6600000,45.6600000,200
SPBEX.COP,10,20170320,215000,45.5600000,45.5600000,45.5600000,45.5600000,10
SPBEX.COP,10,20170321,102000,45.6400000,45.6400000,45.6400000,45.6400000,1
SPBEX.COP,10,20170321,125000,46.1300000,46.1300000,46.1300000,46.1300000,3
SPBEX.COP,10,20170321,153000,46.1300000,46.1300000,46.1300000,46.1300000,43
SPBEX.COP,10,20170321,164000,46.1200000,46.1200000,46.1200000,46.1200000,7
SPBEX.COP,10,20170321,192000,45.3100000,45.3100000,45.3100000,45.3100000,3
SPBEX.COP,10,20170321,211000,44.9500000,45.0000000,44.9500000,45.0000000,2
SPBEX.COP,10,20170323,201000,44.4900000,44.4900000,44.4900000,44.4900000,1
SPBEX.COP,10,20170324,185000,44.3400000,44.3400000,44.3400000,44.3400000,10
SPBEX.COP,10,20170324,190000,44.4000000,44.4000000,44.4000000,44.4000000,1
SPBEX.COP,10,20170324,222000,44.1100000,44.1100000,44.1100000,44.1100000,3
SPBEX.COP,10,20170328,173000,44.5200000,44.5200000,44.5200000,44.5200000,10
SPBEX.COP,10,20170328,225000,45.3200000,45.3200000,45.3200000,45.3200000,3
SPBEX.COP,10,20170329,110000,45.4400000,45.4400000,45.4400000,45.4400000,1
SPBEX.COP,10,20170329,131000,45.4100000,45.4100000,45.4100000,45.4100000,1
SPBEX.COP,10,20170329,174000,45.7000000,45.7000000,45.7000000,45.7000000,1
SPBEX.COP,10,20170329,203000,45.9800000,45.9800000,45.9800000,45.9800000,3
SPBEX.COP,10,20170329,212000,45.8000000,45.8000000,45.8000000,45.8000000,1
SPBEX.COP,10,20170330,110000,48.2600000,48.2600000,48.2600000,48.2600000,10
SPBEX.COP,10,20170330,144000,49.0000000,49.0000000,49.0000000,49.0000000,3
SPBEX.COP,10,20170330,155000,49.6100000,49.6100000,49.6100000,49.6100000,4
SPBEX.COP,10,20170330,162000,49.5300000,49.5300000,49.5300000,49.5300000,3
SPBEX.COP,10,20170330,170000,48.7800000,48.7800000,48.7800000,48.7800000,4
SPBEX.COP,10,20170330,173000,48.8500000,48.8500000,48.8500000,48.8500000,200
SPBEX.COP,10,20170330,175000,49.4500000,49.5300000,49.4500000,49.5300000,60
SPBEX.COP,10,20170330,185000,49.9200000,49.9200000,49.9200000,49.9200000,10
SPBEX.COP,10,20170330,190000,50.2500000,50.2500000,50.2500000,50.2500000,8
SPBEX.COP,10,20170331,164000,49.8200000,49.8200000,49.8200000,49.8200000,50
SPBEX.COP,10,20170331,165000,49.8400000,49.8400000,49.7400000,49.7400000,100
SPBEX.COP,10,20170331,170000,49.6800000,49.6800000,49.6800000,49.6800000,50
SPBEX.COP,10,20170403,161000,49.8000000,49.8000000,49.8000000,49.8000000,1
SPBEX.COP,10,20170403,164000,49.8300000,49.9000000,49.6550000,49.6600000,11457
SPBEX.COP,10,20170403,165000,49.6000000,49.7300000,49.5400000,49.6500000,11353
SPBEX.COP,10,20170403,170000,49.6500000,49.7000000,49.5300000,49.6100000,16544
SPBEX.COP,10,20170403,171000,49.6100000,49.6300000,49.2300000,49.3100000,24386
SPBEX.COP,10,20170403,172000,49.2800000,49.4000000,49.2100000,49.2900000,17934
SPBEX.COP,10,20170403,173000,49.2700000,49.4300000,49.2700000,49.3700000,11062
SPBEX.COP,10,20170403,174000,49.3600000,49.4550000,49.3600000,49.4350000,15254
SPBEX.COP,10,20170403,175000,49.4350000,49.4350000,49.2850000,49.3550000,14265
SPBEX.COP,10,20170403,180000,49.3550000,49.3550000,49.0300000,49.0900000,25579
SPBEX.COP,10,20170403,181000,49.0700000,49.0900000,48.8900000,48.9900000,14149
SPBEX.COP,10,20170403,182000,49.0100000,49.1850000,48.9400000,48.9600000,9218
SPBEX.COP,10,20170403,183000,48.9500000,48.9900000,48.8400000,48.9000000,11996
SPBEX.COP,10,20170403,184000,48.9100000,48.9700000,48.8050000,48.9400000,10845
