<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.MS.IND,10,20160315,102000,25.9200000,25.9200000,25.9200000,25.9200000,0
SPBEX.MS.IND,10,20160315,103000,25.9100000,25.9100000,25.9100000,25.9100000,0
SPBEX.MS.IND,10,20160315,110000,25.9000000,25.9000000,25.9000000,25.9000000,0
SPBEX.MS.IND,10,20160315,111000,25.8700000,25.8700000,25.8600000,25.8600000,0
SPBEX.MS.IND,10,20160315,151000,25.8500000,25.8500000,25.8300000,25.8300000,0
SPBEX.MS.IND,10,20160315,153000,25.8200000,25.8200000,25.8200000,25.8200000,0
SPBEX.MS.IND,10,20160315,154000,25.8100000,25.8100000,25.8100000,25.8100000,0
SPBEX.MS.IND,10,20160315,155000,25.8000000,25.8000000,25.7900000,25.7900000,0
SPBEX.MS.IND,10,20160315,160000,25.7300000,25.7300000,25.6700000,25.6700000,0
SPBEX.MS.IND,10,20160315,163000,25.7000000,25.7000000,25.7000000,25.7000000,0
SPBEX.MS.IND,10,20160315,164000,25.6800000,25.6800000,25.4500000,25.4500000,0
SPBEX.MS.IND,10,20160315,165000,25.4400000,25.6100000,25.4100000,25.4900000,0
SPBEX.MS.IND,10,20160315,170000,25.4800000,25.4900000,25.3900000,25.4600000,0
SPBEX.MS.IND,10,20160315,171000,25.4500000,25.4500000,25.2400000,25.2900000,0
SPBEX.MS.IND,10,20160315,172000,25.2800000,25.3100000,25.2100000,25.2200000,0
SPBEX.MS.IND,10,20160315,173000,25.2100000,25.3300000,25.1900000,25.3200000,0
SPBEX.MS.IND,10,20160315,174000,25.3300000,25.3800000,25.2200000,25.2400000,0
SPBEX.MS.IND,10,20160315,175000,25.2500000,25.4000000,25.2500000,25.2700000,2
SPBEX.MS.IND,10,20160315,180000,25.2800000,25.3000000,25.1700000,25.2400000,1
SPBEX.MS.IND,10,20160315,181000,25.2300000,25.3300000,25.2300000,25.3300000,0
SPBEX.MS.IND,10,20160315,182000,25.3200000,25.3700000,25.3000000,25.3000000,0
SPBEX.MS.IND,10,20160315,183000,25.3100000,25.4400000,25.2700000,25.4400000,0
SPBEX.MS.IND,10,20160315,184000,25.4500000,25.4700000,25.3600000,25.3800000,0
SPBEX.MS.IND,10,20160315,185000,25.3700000,25.3700000,25.3200000,25.3300000,0
SPBEX.MS.IND,10,20160315,190000,25.3400000,25.3800000,25.3400000,25.3500000,0
SPBEX.MS.IND,10,20160315,191000,25.3600000,25.3600000,25.2400000,25.2500000,0
SPBEX.MS.IND,10,20160315,192000,25.2400000,25.2500000,25.2000000,25.2000000,0
SPBEX.MS.IND,10,20160315,193000,25.2100000,25.2300000,25.1900000,25.2000000,0
SPBEX.MS.IND,10,20160315,194000,25.1900000,25.2000000,25.1300000,25.1300000,0
SPBEX.MS.IND,10,20160315,195000,25.1400000,25.2500000,25.1400000,25.2500000,0
SPBEX.MS.IND,10,20160315,200000,25.2600000,25.3000000,25.2600000,25.2900000,0
SPBEX.MS.IND,10,20160315,201000,25.2800000,25.3300000,25.2800000,25.2900000,0
SPBEX.MS.IND,10,20160315,202000,25.3000000,25.3000000,25.2600000,25.2600000,0
SPBEX.MS.IND,10,20160315,203000,25.2700000,25.3400000,25.2700000,25.3000000,0
SPBEX.MS.IND,10,20160315,204000,25.3100000,25.3900000,25.3100000,25.3700000,0
SPBEX.MS.IND,10,20160315,205000,25.3600000,25.3900000,25.3600000,25.3600000,0
SPBEX.MS.IND,10,20160315,210000,25.3700000,25.4000000,25.3700000,25.4000000,0
SPBEX.MS.IND,10,20160315,211000,25.3900000,25.3900000,25.3200000,25.3300000,0
SPBEX.MS.IND,10,20160315,212000,25.3400000,25.3900000,25.3400000,25.3900000,0
SPBEX.MS.IND,10,20160315,213000,25.3800000,25.4000000,25.3600000,25.4000000,0
SPBEX.MS.IND,10,20160315,214000,25.3900000,25.4400000,25.3700000,25.4400000,0
SPBEX.MS.IND,10,20160315,215000,25.4300000,25.4300000,25.3900000,25.4000000,0
SPBEX.MS.IND,10,20160315,220000,25.3900000,25.3900000,25.3300000,25.3600000,0
SPBEX.MS.IND,10,20160315,221000,25.3700000,25.3700000,25.3000000,25.3000000,1
SPBEX.MS.IND,10,20160315,222000,25.3100000,25.3800000,25.3100000,25.3700000,0
SPBEX.MS.IND,10,20160315,223000,25.3800000,25.3900000,25.3400000,25.3700000,0
SPBEX.MS.IND,10,20160315,224000,25.3800000,25.4200000,25.3800000,25.4100000,0
SPBEX.MS.IND,10,20160315,225000,25.4000000,25.4100000,25.3500000,25.3500000,0
SPBEX.MS.IND,10,20160315,230000,25.3400000,25.4100000,25.3300000,25.4100000,0
SPBEX.MS.IND,10,20160316,113000,25.4200000,25.4200000,25.4200000,25.4200000,0
SPBEX.MS.IND,10,20160316,133000,25.4700000,25.4700000,25.4700000,25.4700000,10
SPBEX.MS.IND,10,20160316,141000,25.4400000,25.4400000,25.4400000,25.4400000,0
SPBEX.MS.IND,10,20160316,142000,25.4300000,25.4300000,25.4100000,25.4100000,0
SPBEX.MS.IND,10,20160316,143000,25.3300000,25.3300000,25.3100000,25.3100000,0
SPBEX.MS.IND,10,20160316,144000,25.3000000,25.3000000,25.2900000,25.2900000,0
SPBEX.MS.IND,10,20160316,151000,25.3000000,25.3200000,25.3000000,25.3200000,0
SPBEX.MS.IND,10,20160316,154000,25.2600000,25.2700000,25.2600000,25.2600000,0
