<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TATN,10,20170103,101000,426.4500000,430.8500000,426.4500000,429.1000000,27410
TATN,10,20170103,102000,428.7000000,429.2000000,428.3000000,428.3500000,5050
TATN,10,20170103,103000,428.4500000,428.4500000,427.5500000,427.8000000,1230
TATN,10,20170103,104000,428.4500000,428.9500000,427.6500000,428.2500000,5480
TATN,10,20170103,105000,428.2500000,429.1500000,428.0500000,428.6500000,4960
TATN,10,20170103,110000,428.6500000,429.5500000,428.6500000,429.0000000,2140
TATN,10,20170103,111000,429.0000000,429.2500000,426.2500000,426.8500000,25690
TATN,10,20170103,112000,426.7500000,427.3500000,424.5500000,424.9500000,34350
TATN,10,20170103,113000,425.1500000,427.3500000,425.1500000,426.1500000,8490
TATN,10,20170103,114000,426.5500000,427.5500000,425.7500000,427.5500000,22090
TATN,10,20170103,115000,426.5500000,428.8500000,426.5500000,427.7000000,15000
TATN,10,20170103,120000,427.7000000,429.7500000,427.2500000,429.7000000,21760
TATN,10,20170103,121000,429.7500000,429.7500000,428.1500000,428.2500000,7970
TATN,10,20170103,122000,428.5000000,428.7000000,427.8500000,427.8500000,2630
TATN,10,20170103,123000,427.8500000,429.8000000,427.8500000,429.4500000,6150
TATN,10,20170103,124000,429.8000000,437.4000000,429.3500000,437.2500000,88940
TATN,10,20170103,125000,437.3000000,438.1000000,435.1500000,436.5000000,62800
TATN,10,20170103,130000,436.7000000,438.4500000,436.3500000,437.9500000,36300
TATN,10,20170103,131000,437.5000000,441.0000000,437.4500000,440.0500000,55650
TATN,10,20170103,132000,440.6500000,440.9000000,437.9000000,438.1500000,12070
TATN,10,20170103,133000,438.4500000,439.0500000,438.2500000,438.8500000,5020
TATN,10,20170103,134000,438.8500000,439.9500000,438.3500000,439.3500000,15490
TATN,10,20170103,135000,439.3500000,441.3000000,439.0500000,440.9500000,23890
TATN,10,20170103,140000,441.0000000,442.9000000,439.3500000,442.1500000,33210
TATN,10,20170103,141000,442.3000000,443.3000000,441.7500000,441.9500000,21580
TATN,10,20170103,142000,442.0500000,445.0000000,441.4000000,444.1500000,51090
TATN,10,20170103,143000,444.1500000,444.4500000,441.3500000,441.4000000,25060
TATN,10,20170103,144000,441.2500000,442.6000000,440.4000000,442.0500000,20350
TATN,10,20170103,145000,442.0500000,442.3500000,441.1500000,442.3000000,8470
TATN,10,20170103,150000,442.3000000,442.4000000,441.1500000,441.2000000,12000
TATN,10,20170103,151000,441.6500000,441.7000000,439.5500000,440.3000000,14440
TATN,10,20170103,152000,440.7500000,440.7500000,439.9500000,440.0000000,4560
TATN,10,20170103,153000,440.2000000,440.2000000,439.3500000,439.9500000,6570
TATN,10,20170103,154000,439.7500000,439.8000000,439.3000000,439.8000000,2940
TATN,10,20170103,155000,439.8000000,440.0000000,439.5500000,439.9000000,6590
TATN,10,20170103,160000,439.8500000,440.0000000,438.2500000,438.4000000,15450
TATN,10,20170103,161000,438.9500000,439.0000000,438.3000000,438.7000000,2670
TATN,10,20170103,162000,438.7000000,438.8500000,437.5500000,437.5500000,5670
TATN,10,20170103,163000,438.0000000,438.6000000,437.8500000,438.0500000,3050
TATN,10,20170103,164000,438.4500000,438.9500000,437.5000000,437.7500000,9670
TATN,10,20170103,165000,438.0500000,438.4500000,437.7500000,438.0000000,3490
TATN,10,20170103,170000,437.9000000,439.0000000,437.7500000,438.5000000,7140
TATN,10,20170103,171000,438.8500000,439.8500000,438.8500000,439.5500000,8140
TATN,10,20170103,172000,439.5500000,439.9000000,438.2500000,438.6000000,8910
TATN,10,20170103,173000,438.6000000,439.1500000,437.7000000,438.0000000,14650
TATN,10,20170103,174000,438.0000000,439.1000000,437.9000000,438.2000000,33320
TATN,10,20170103,175000,438.2000000,440.0000000,438.2000000,440.0000000,40800
TATN,10,20170103,180000,439.5000000,440.8000000,438.7500000,440.1500000,45190
TATN,10,20170103,181000,440.6000000,442.6500000,440.2000000,442.6000000,52620
TATN,10,20170103,182000,442.6000000,444.5500000,442.6000000,444.3000000,55980
TATN,10,20170103,183000,444.3000000,447.8500000,443.7000000,447.8500000,105950
TATN,10,20170103,184000,447.6000000,447.8500000,444.0500000,444.1000000,123400
TATN,10,20170103,185000,445.2000000,445.2000000,445.2000000,445.2000000,38720
TATN,10,20170104,101000,444.8500000,444.8500000,441.0000000,442.5000000,32830
TATN,10,20170104,102000,442.5000000,443.9500000,440.3000000,440.5500000,28320
TATN,10,20170104,103000,440.5500000,441.8000000,439.5000000,440.3500000,20820
